name,state,street,lon,lat,formatted,categories,min_fee
Breeze Restaurant Bar,Red Sea,Ahmed Ragab Street,33.67529877,27.4090325,"Breeze Restaurant Bar, Ahmed Ragab Street, Gamsha, 84513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant']",0
Buffalo Burger,Cairo,Al Nozha Street,31.3431397,30.099436,"Buffalo Burger, 105 Al Nozha Street, Heliopolis, Cairo, 11736, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Building,Suez,Parking H5,32.58109281,29.34906475,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.58147768,29.3492611,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.58070658,29.3488578,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.5810289,29.34979415,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.58042195,29.34947725,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.58015698,29.3501325,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.58057908,29.35034465,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.57929118,29.34965445,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Building,Suez,Parking H5,32.57997829,29.34846745,"Building, Parking H5, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Burger King,Cairo,Departure,31.3960429,30.1114022,"Burger King, Departure, Cairo, 11351, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Burger King,Cairo,Al Nasr Street,31.2844277,29.9761352,"Burger King, Al Nasr Street, Cairo, 11742, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Burger King,Cairo,The Ring Road,31.308828,29.9861357,"Burger King, The Ring Road, Cairo, 11742, Egypt","['catering', 'catering.fast_food', 'catering.fast_food.burger']",0
Buzzha Beach Restaurant (KBC),Red Sea,Amr Khalil Street,33.6729123,27.4202076,"Buzzha Beach Restaurant (KBC), Amr Khalil Street, Gamsha, 84513, Egypt","['building', 'building.catering', 'catering', 'catering.restaurant', 'catering.restaurant.international']",0
Caf,Giza,Bni Sofyan Street,31.1405385,29.9754028,"Caf, Bni Sofyan Street, Kom al Akhdar, Giza, 12125, Egypt","['catering', 'catering.cafe']",0
Caf,Cairo,Al Mahgr Road,31.4476831,29.9524572,"Caf, Al Mahgr Road, Cairo, 11835, Egypt","['catering', 'catering.cafe']",0
Caf,Cairo,Abd Al Rahman Al Jabarti Street,31.4033246,30.0089648,"Caf, Abd Al Rahman Al Jabarti Street, Cairo, 11936, Egypt","['catering', 'catering.cafe']",0
Caf,Giza,Al Bostan Street,31.0108638,30.0255518,"Caf, Al Bostan Street, El Nada Compound, 12573, Egypt","['catering', 'catering.cafe']",0
Caf,Cairo,Wasem Hassn Street,31.2340665,30.0468725,"Caf, Wasem Hassn Street, Bab al Luq, Cairo, 11556, Egypt","['catering', 'catering.cafe']",0
Cafe Greco,Cairo,Street 9,31.2613963,29.9556029,"Cafe Greco, Street 9, Ma‘di Al Khahiri, Cairo, 11431, Egypt","['catering', 'catering.cafe']",0
Cafeteria,Aswan,"Idfu, Marsa Aalam Road",33.367851,24.994646,"Cafeteria, Idfu, Marsa Aalam Road, Egypt","['catering', 'catering.cafe']",0
Cairo Photography Club,Cairo,Street 7,31.257741,29.959,"Cairo Photography Club, 46 Street 7, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['entertainment', 'entertainment.culture', 'entertainment.culture.arts_centre']",0
Cairo Pyramids Hotel,Giza,"Cairo, Alexandria Desert Road",31.126265,29.9929105,"Cairo Pyramids Hotel, Cairo, Alexandria Desert Road, Remaya Square, 12572, Egypt","['accommodation', 'accommodation.hotel']",0
Cairo Pyramids Hotel,Giza,"Cairo, Alexandria Desert Road",31.126265,29.9929105,"Cairo Pyramids Hotel, Cairo, Alexandria Desert Road, Remaya Square, 12572, Egypt","['accommodation', 'accommodation.hotel']",0
Cairo World Trade Center Hotel & Residences,Cairo,Al Matbaah Al Amireh Street,31.2281499,30.0643123,"Cairo World Trade Center Hotel & Residences, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Cairo World Trade Center Hotel & Residences,Cairo,Al Matbaah Al Amireh Street,31.2281499,30.0643123,"Cairo World Trade Center Hotel & Residences, 1191 Al Matbaah Al Amireh Street, Al-Sabtiyya, Cairo, 11221, Egypt","['accommodation', 'accommodation.hotel', 'internet_access', 'internet_access.free']",0
Cairut,Cairo,Street 7,31.2599966,29.9561618,"Cairut, Street 7, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['catering', 'catering.restaurant']",0
Caleo,Red Sea,Inas Al Deghedi Street,33.673887,27.396159,"Caleo, Inas Al Deghedi Street, Gamsha, 84513, Egypt","['catering', 'catering.restaurant']",0
calistoegypt,Giza,Waslet Dahshur Road,30.9700716,30.020492,"calistoegypt, G21CITYPARK Waslet Dahshur Road, October Hills, 12588, Egypt","['catering', 'catering.restaurant', 'internet_access', 'internet_access.for_customers']",0
Capital Hotel,Cairo,Bhler Passage,31.23976825,30.04824275,"Capital Hotel, 1 Bhler Passage, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Capital Hotel,Cairo,Bhler Passage,31.23976825,30.04824275,"Capital Hotel, 1 Bhler Passage, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation']",0
Car Cafe Club,Giza,Al Nil Street,31.2191696,30.0336558,"Car Cafe Club, Al Nil Street, Dokki, Giza, 12612, Egypt","['catering', 'catering.cafe']",0
Carlito's Basaar - gifts & silver,Cairo,Street 9,31.2587944,29.9590658,"Carlito's Basaar - gifts & silver, 90 Street 9, Ma‘di Al Khahiri, Cairo, 11728, Egypt","['commercial', 'commercial.gift_and_souvenir']",0
Carlton Roof Garden,Cairo,Al Borsa Street,31.24078965,30.05321105,"Carlton Roof Garden, Al Borsa Street, Al-Azbakeya, Cairo, 11574, Egypt","['catering', 'catering.restaurant']",0
Cecil,South Sinai,Al Salam Street,32.71355569,29.58735135,"Cecil, 2 Al Salam Street, Ras Sudr, 46612, Egypt","['accommodation', 'accommodation.hotel', 'building', 'building.accommodation', 'internet_access']",0
Central Cairo,Cairo,Sherif Pasha Street,31.2422026,30.0508356,"Central Cairo, 32 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",0
Centro Cairo Hotel,Cairo,Sherif Pasha Street,31.2421843,30.0507737,"Centro Cairo Hotel, 32 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",0
Centro Cairo Hotel,Cairo,Sherif Pasha Street,31.2421843,30.0507737,"Centro Cairo Hotel, 32 Sherif Pasha Street, Abdin, Cairo, 11513, Egypt","['accommodation', 'accommodation.hotel']",0
Cheap Fish Restaurant,Aswan,Al Sheikh Ibrahim Street,32.8995387,24.0903892,"Cheap Fish Restaurant, Al Sheikh Ibrahim Street, Negm Al Din, 81511, Egypt","['catering', 'catering.restaurant']",0
Chef Kahlil,Aswan,Saad Zaghloul Street,32.9015886,24.0985146,"Chef Kahlil, Saad Zaghloul Street, Saleh Gahin, 81521, Egypt","['catering', 'catering.restaurant']",0
Cheops Pyramid In,Giza,Naser Alley,31.141299,29.9758937,"Cheops Pyramid In, Naser Alley, Kom al Akhdar, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel']",0
Cheops Pyramid In,Giza,Naser Alley,31.141299,29.9758937,"Cheops Pyramid In, Naser Alley, Kom al Akhdar, Giza, 12125, Egypt","['accommodation', 'accommodation.hotel']",0
